Id,Genus,Species,Variety,PlantCategory,IsEdible,Form,MaxHeight,MinHeight,Habit,MinZone,MaxZone,ColorPredominant,ColorMajor,ColorMinor,LightPreferenceMin,LightPreferenceMax,WaterPreference,TimeAdded,TimeAltered
3,Heliconia,Rostrata,Peru,Heliconia,False,4,10,6,1,,,1,3,4,2,4,3,2023-01-01 00:00:00.0000000,2023-06-01 00:19:21.7131316
4,Heliconia,Bihai,Orange Claw,Heliconia,False,4,20,5,,,,2,2,2,,,,2023-01-01 00:00:00.0000000,2023-01-01 00:00:00.0000000
5,Musa,Coccinea,Scarlet Banana,Banana,False,4,6,,,,,1,1,1,,,,2023-01-01 00:00:00.0000000,2023-07-05 17:05:09.8008464
6,Heliconia,Regalis,Barnum & Bailey,Heliconia,False,4,20,5,,,,1,2,3,,,,2023-04-28 21:28:45.6623925,2023-05-10 00:07:37.5774194
7,Heliconia,Caribaea,Unknown,Heliconia,False,4,,,,,,,,,,,,2023-04-28 21:29:34.5547030,2023-07-27 01:56:14.8300134
10,Etlingera,Elatior,Red Torch,Ginger,False,4,,,,,,1,,,,,,2023-04-28 21:30:50.9863996,2023-05-10 00:08:04.5200133
12,Alpinia,Malaccensis,Giant Pink Shell,Ginger,False,4,12,8,1,,,9,,,3,4,3,2023-04-28 21:32:16.2577497,2024-06-12 05:54:40.7311880
13,Wodyetia,Bifurcata,Foxtail Palm,Palm,False,4,,,,,,,,,,,,2023-04-28 21:36:04.7514323,2023-05-10 00:08:21.9893331
14,Syagrus,Romanzoffiana,Queen Palm,Palm,False,1,,,,,,,,,,,,2023-04-28 21:36:55.0596141,2023-05-10 00:08:31.0562414
15,Musa,Ornata,Royal Purple,Banana,False,4,9,5,1,,,6,9,7,3,4,3,2023-01-01 00:00:00.0000000,2023-07-03 23:10:29.4379916
16,Aplinia,Purpurata,Red Ginger,Ginger,False,4,6,2,1,,,1,,,,,3,2023-04-30 23:35:21.7106119,2023-07-03 23:15:59.4564424
17,Heliconia,Caribaea x Bihai,Jacquinii,Heliconia,False,4,14,,,,,,,,,,,2023-05-01 00:27:26.1999453,2023-05-10 00:18:55.1452031
18,Heliconia,Marginata,Lutea,Heliconia,False,4,10,,,,,,,,,,,2023-05-01 00:28:28.2447859,2023-05-10 00:19:04.8076131
22,Heliconia,Xanthivillosa,Shogun,Heliconia,False,4,,,,,,,,,,,,2023-05-01 00:45:03.8986652,2023-05-10 00:19:31.0859693
30,Heliconia,Caribaea,Orange Delight,Heliconia,False,4,,,,,,,,,,,,2023-05-10 00:36:30.2974933,2023-05-10 00:36:30.2974936
31,Alocasia,Borneo X Odora,Borneo King,Foliage,False,4,8,5,1,,,4,,,1,3,3,2023-05-23 03:32:11.3190314,2023-07-06 03:53:08.2760467
32,Adonidia,Merrillii,Manilla Palm,Palm,False,4,30,20,0,,,,,,3,4,3,2023-05-23 03:46:00.0211590,2023-05-23 03:46:00.0211596
33,Heliconia,Orthotricha,Maleko Red,Heliconia,False,4,10,8,1,,,1,8,,3,4,3,2023-05-23 03:52:24.8340792,2023-05-23 03:52:24.8340794
34,Heliconia,Caribaea x Bihai,Bubble Gum,Heliconia,False,4,18,10,1,,,2,9,,3,4,3,2023-05-23 03:57:37.6357496,2023-05-23 04:20:41.1735371
36,Heliconia,Caribaea x Bihai,Prince of Darkness,Heliconia,False,4,18,10,1,,,1,,,3,4,3,2023-05-23 04:19:41.1516024,2023-07-23 18:02:49.5916826
37,Ptychosperma,Macarthurii,Macarthur Palm,Palm,False,4,22,15,1,,,,,,3,4,3,2023-05-23 04:32:23.5662833,2023-05-23 04:32:23.5662837
38,Heliconia,Psittacorum x Spathocircinata ,Golden Torch,Heliconia,False,4,7,4,1,,,3,,,2,4,3,2023-05-23 04:39:32.1876443,2023-05-23 04:39:32.1876446
39,Heliconia,Psittacorum hybrid,Tropic,Heliconia,False,4,7,4,2,,,2,3,9,3,4,3,2023-05-23 04:46:29.8789337,2023-05-23 04:46:29.8789339
40,Etlingera,Elatior,White Torch,Ginger,False,4,16,10,1,,,7,,,3,4,3,2023-05-27 06:14:05.6571440,2023-05-27 06:14:05.6571443
41,Zingiber,Unknown Hybrid,Unnamed Hybrid (PGH),Ginger,False,4,10,8,1,,,,,,3,4,3,2023-05-27 06:16:33.6321325,2023-07-05 02:51:53.1974391
42,Zingiber,Spectabile,Glowing Orb,Ginger,False,4,8,6,1,,,2,,,3,4,3,2023-05-27 06:20:42.0570350,2023-05-27 06:20:42.0570352
43,Heliconia,Farinosa,Rio,Heliconia,False,4,8,5,1,,,1,3,,3,4,3,2023-05-27 06:23:48.4301683,2023-05-27 06:42:50.8853107
44,Zingiber,Macrodenium,Chocolate Ball,Ginger,False,4,8,6,1,,,2,,,4,4,3,2023-05-27 06:29:04.7959212,2024-02-17 07:36:51.4336226
45,Heliconia,Rostrata,Ten Day,Heliconia,False,4,20,6,1,,,1,3,4,2,4,3,2023-05-27 06:34:22.0297127,2023-05-27 06:34:22.0297131
46,Alpinia,Zerumbet,Mega Shell,Ginger,False,4,7,5,1,,,9,3,,4,4,3,2023-05-27 06:39:14.1382552,2024-06-12 05:54:58.0824239
48,Burbidgea,Schizocheila,Gold Brush,Ginger,False,4,2,1,1,,,2,3,,3,4,3,2023-05-28 04:37:30.4386882,2023-05-28 04:37:30.4386887
49,Schaueria,Flavicoma,Golden Plume,Shrub,False,4,4,2,1,,,3,,,3,3,3,2023-05-30 23:27:10.2778599,2023-05-30 23:29:56.4594096
50,Heliconia,Carmalae,Carma,Heliconia,False,4,18,10,1,,,1,2,3,3,4,3,2023-05-31 00:13:27.8523139,2023-05-31 00:13:27.8523142
51,Alpinia,Galanga,Galangal,Ginger,False,4,8,6,1,,,7,,,3,4,3,2023-05-31 00:29:22.5125832,2023-05-31 00:32:01.3783208
52,Heliconia,Lawrencia,Lawrencia,Heliconia,False,4,16,10,1,,,1,2,,3,2,3,2023-06-01 00:03:48.8908688,2023-06-01 16:57:28.6832770
53,Heliconia,Pendula x Bihai ,Hot Rio Nites,Heliconia,False,4,18,12,1,,,1,,,3,4,3,2023-06-01 00:04:47.0480973,2023-06-01 16:54:52.8125775
54,Heliconia,Lingulata ,Fan,Heliconia,False,4,15,5,1,,,3,,,2,4,3,2023-06-01 00:06:35.6538844,2023-12-18 01:24:31.4313100
55,Calathea,Crotilifera ,Giant Rattlesnake,Calathea,False,4,8,6,1,,,3,,,3,4,3,2023-06-01 00:07:15.8813656,2023-06-01 17:09:40.3536490
56,Heliconia,Aurea,Chalko,Heliconia,False,4,18,10,1,,,1,3,4,3,4,3,2023-06-01 00:12:42.8243772,2023-06-01 17:11:42.4454513
57,Heliconia,Psittacorum x Marginata,Nickereinsis,Heliconia,False,4,10,4,2,,,2,3,,2,4,4,2023-06-01 00:13:34.3200566,2023-06-01 17:14:57.2740892
58,Etlingera,Elatior,Shocking Pink,Ginger,False,4,16,10,1,,,9,,,3,4,3,2023-06-01 00:15:10.9622364,2023-06-01 17:18:36.4347020
59,Heliconia,Vellerigera,She Kong,Heliconia,False,4,14,8,1,,,2,,,3,3,3,2023-06-01 00:15:37.7377602,2023-06-01 17:26:28.1528745
60,Heliconia,Champneiana,Maya Sunrise,Heliconia,False,4,,,1,,,2,1,,,,3,2023-06-01 00:16:18.3967469,2023-07-27 01:48:49.8648519
61,Heliconia,Bihai x Caribaea,Criswick,Heliconia,False,4,,,,,,,,,,,,2023-06-01 00:17:05.6648425,2023-07-27 01:52:29.5305357
62,Heliconia,Bihai,Arawak,Heliconia,False,4,,,,,,,,,,,,2023-06-01 00:17:37.1551398,2023-07-27 01:50:53.7774249
64,Heliconia,Latispatha x Bihai,Fat Lat,Heliconia,False,4,16,10,1,,,1,2,,3,4,3,2023-06-06 20:01:28.7542327,2023-06-06 20:01:28.7542331
65,Heliconia,Orthotricha,Tricolor,Heliconia,False,4,10,4,1,,,1,3,4,3,4,3,2023-06-06 22:44:06.4330428,2023-06-06 22:44:06.4330431
66,Heliconia,Vellerigera,Red Carpet,Heliconia,False,4,16,10,1,,,1,2,,3,4,3,2023-07-03 22:53:06.0547375,2023-07-03 22:53:06.0547377
67,Heliconia,Roastrata x Standleyii,La Wille,Heliconia,False,4,15,10,1,,,1,3,4,3,3,3,2023-07-03 23:04:58.7421087,2023-07-03 23:16:43.7229653
68,Alpinia,Vitatta,Variegated Shell,Ginger,False,4,6,2,1,,,9,7,,3,2,3,2023-07-05 01:14:04.9944872,2023-07-05 01:14:04.9944875
69,Heliconia,Stricta,Iris,Heliconia,False,4,10,5,1,,,1,,,3,4,3,2023-07-05 01:48:54.7381164,2023-07-05 01:48:54.7381167
70,Alocasia,Boa,A. Hay,Foliage,False,4,4,3,1,,,,,,2,3,3,2023-07-05 01:56:17.5675335,2023-07-06 03:53:55.6896979
71,Alocasia,Macrorrhiza,Lutea,Shrub,False,4,10,6,1,,,,,,1,2,3,2023-07-05 02:02:21.9110471,2023-07-05 02:02:21.9110472
72,Dypsis,Lutescens,Areca,Palm,False,4,40,20,1,,,,,,3,4,3,2023-07-05 02:06:05.9175839,2023-07-05 02:06:05.9175840
73,Heliconia,Platystachys,Sexy Orange,Heliconia,False,4,18,12,1,,,2,3,,2,4,3,2023-07-05 02:13:56.4580915,2023-07-05 02:13:56.4580916
74,Heliconia,Latispatha x Spissa,Bali,Heliconia,False,4,16,10,2,,,1,3,,2,3,3,2023-07-05 02:17:35.4208859,2023-07-05 02:17:35.4208861
75,Cyrtostachys,Renda,Sealing Wax Palm,Palm,False,4,50,10,1,,,,,,2,4,3,2023-07-05 02:23:19.1853398,2023-07-05 02:23:19.1853399
76,Heliconia,Bihai,Peachy Pink,Heliconia,False,4,14,8,1,,,2,9,4,3,4,3,2023-07-05 02:27:23.6197705,2023-07-05 02:27:23.6197709
77,Heliconia,Bihai,Claw II,Heliconia,False,4,10,5,1,,,2,4,,3,4,3,2023-07-05 02:34:50.4149450,2023-07-05 02:35:55.1992034
78,Cocos,Nucifera,Coconut Palm,Palm,False,4,60,20,0,,,,,,3,4,3,2023-07-05 02:40:57.0904199,2023-07-27 01:58:13.4016010
79,Heliconia,Pendula,Frosty,Heliconia,False,4,14,8,1,,,1,7,,3,4,3,2023-07-05 02:54:37.7399198,2023-07-05 02:54:37.7399199
80,Heliconia,Chartacea,Sexy Pink,Heliconia,False,4,14,10,1,,,9,4,,2,4,4,2023-07-05 03:01:19.9884175,2023-07-05 03:01:19.9884180
81,Heliconia,Caribaea,Yellow,Heliconia,False,4,16,12,1,,,3,,,2,4,3,2023-07-05 03:32:53.1292224,2023-07-05 03:32:53.1292226
82,Alocasia,Zebrina x micholitziana,Sarian,Shrub,False,4,10,5,1,,,,,,3,4,2,2023-07-05 03:41:33.5725167,2023-07-05 03:43:07.8364095
86,Zingiber,Spectabile,Early Gold,Ginger,False,4,8,6,1,,,3,,,2,3,3,2023-07-05 03:49:52.7215981,2023-07-05 03:49:52.7215981
87,Calathea,Crotilifera,Golden Fleece,Calathea,False,4,8,6,1,,,3,,,4,4,3,2023-07-05 05:25:20.8027180,2023-07-05 05:25:20.8027182
88,Hedychium,Coccineum,Scarlet Ginger,Ginger,False,4,6,4,1,,,1,,,3,4,3,2023-07-05 05:34:25.5896490,2023-07-05 05:34:25.5896491
89,Stromanthe,Leutea,Orange Beads,Calathea,False,4,10,8,1,,,2,,,4,4,3,2023-07-05 05:44:48.9609765,2023-12-27 05:43:38.3503143
90,Heliconia,Stricta,Dark Desire,Heliconia,False,4,8,5,1,,,1,,,3,4,3,2023-07-05 17:14:45.2402381,2023-07-05 17:14:45.2402381
91,Heliconia,Orthotricha,Pink Shag,Heliconia,False,4,12,6,1,,,9,1,4,3,4,3,2023-07-05 17:18:22.0556926,2023-07-05 17:18:22.0556927
92,Heliconia,Stricta,Gustavo Red,Heliconia,False,4,14,6,1,,,1,3,,3,4,3,2023-07-05 17:22:32.6153803,2024-06-20 18:31:59.6374753
93,Heliconia,Caribaea x Bihai,Mellow Yellow,Heliconia,False,4,16,10,1,,,3,,,3,4,3,2023-07-05 17:25:02.1624910,2023-07-05 17:25:02.1624910
94,Heliconia,Collinsiana,Collinsiana,Heliconia,False,4,16,5,1,,,1,9,3,2,4,3,2023-07-05 17:32:33.1976055,2023-07-05 17:32:33.1976055
95,Heliconia,Caribaea x Bihai,Midnight Flame,Heliconia,False,4,16,12,1,,,1,2,4,3,4,3,2023-07-05 17:36:35.8215497,2023-07-05 17:36:35.8215500
96,Heliconia,Caribaea x Bihai,Grenada,Heliconia,False,4,16,10,1,,,2,3,,3,4,3,2023-07-05 17:40:39.4083855,2023-07-05 17:40:39.4083859
97,Heliconia,Caribaea,Flash,Heliconia,False,4,16,10,1,,,3,9,,3,4,3,2023-07-05 17:44:29.0603302,2023-07-05 17:44:29.0603303
98,Heliconia,Caribaea x Bihai,St. Rose,Heliconia,False,4,16,10,1,,,1,,,3,4,3,2023-07-05 17:47:14.5846819,2023-07-05 17:47:14.5846820
99,Heliconia,Champneana,Splash,Heliconia,False,4,13,6,1,,,3,1,,2,4,3,2023-07-05 17:50:50.6719843,2023-07-05 17:50:50.6719844
100,Heliconia,Caribaea x Bihai,Burgundy,Heliconia,False,4,18,10,1,,,1,,,3,4,3,2023-07-05 17:53:51.3395737,2023-07-05 17:53:51.3395738
101,Heliconia,Caribaea x Bihai,Eden Yellow,Heliconia,False,4,12,8,1,,,3,,4,3,4,3,2023-07-05 19:35:44.9651535,2023-07-05 19:35:44.9651543
102,Etlingera,hemispherica,Tulip Torch,Ginger,False,4,16,10,1,,,1,,,3,4,3,2023-07-05 19:43:45.2494116,2023-07-05 19:43:45.2494122
103,Heliconia,Caribaea,Island Lime,Heliconia,False,4,14,8,1,,,4,3,1,3,4,3,2023-07-05 19:49:36.5831916,2023-07-05 19:49:36.5831917
104,Heliconia,Caribaea x Bihai,Black Magic,Heliconia,False,4,16,12,1,,,1,,,3,4,3,2023-07-05 19:53:44.5709656,2023-07-05 19:53:44.5709659
105,Tapenochilos,Annanasse,Wax Ginger,Ginger,False,4,10,6,1,,,1,,,2,3,3,2023-07-05 22:14:09.3012080,2023-07-05 22:14:09.3012082
106,Heliconia,Bihai,Mt. Hope Yellow,Heliconia,False,4,16,8,1,,,2,3,,3,4,3,2023-07-05 22:17:08.3498013,2023-07-05 22:17:08.3498016
107,Heliconia,Stricta,Iris Bannochie,Heliconia,False,4,12,6,1,,,1,,,3,4,3,2023-07-05 22:22:26.0086433,2023-07-05 22:24:07.1624785
108,Etlingera,Eelatior,Evita's Rose,Ginger,False,4,16,10,1,,,9,1,,3,4,3,2023-07-05 22:28:53.9939491,2023-07-05 22:28:53.9939493
109,Heliconia,Bihai,Halloween,Heliconia,False,4,14,8,1,,,2,3,4,3,4,3,2023-07-05 22:35:47.6801856,2023-07-05 22:35:47.6801858
110,Heliconia,Penduloides,Perfect Darling,Heliconia,False,4,16,8,1,,,9,3,,3,4,3,2023-07-05 22:40:37.1675369,2023-07-05 22:40:37.1675371
111,Zingiber,Zerumbet,Awapuhi,Ginger,False,4,5,3,1,,,1,,,3,4,3,2023-07-05 22:44:22.7368989,2023-07-05 22:44:22.7368995
112,Thaumatophyllum,Xanadu,Xanadu,Foliage,False,4,5,2,4,,,,,,1,4,3,2023-07-05 22:58:08.2654415,2023-07-06 03:53:42.3626903
113,Heliconia,Chartacea,Sexy Scarlet,Heliconia,False,4,14,5,1,,,1,4,,2,4,3,2023-07-05 23:04:18.4387911,2023-07-05 23:04:18.4387915
114,Heliconia,Psittacorum,Flamingo,Heliconia,False,4,4,2,1,,,3,9,,2,4,3,2023-07-05 23:11:08.4459455,2023-07-05 23:11:08.4459457
115,Heliconia,Chartacea x Platystachys,Temptress,Heliconia,False,4,16,10,1,,,1,3,,3,4,3,2023-07-05 23:15:24.7245211,2023-07-05 23:15:24.7245212
116,Heliconia,Psittacorum,Kathy,Heliconia,False,4,6,4,2,,,1,2,,3,4,3,2023-07-05 23:18:45.7656976,2023-07-05 23:18:45.7656977
117,Heliconia,Psittacorum,Cynthia,Heliconia,False,4,5,3,1,,,9,2,,2,4,3,2023-07-05 23:25:24.2381113,2023-07-05 23:25:24.2381114
118,Heliconia,Stricta,Heart of Gold,Heliconia,False,4,10,6,1,,,2,3,4,3,4,3,2023-07-05 23:29:37.3907719,2023-07-05 23:29:37.3907721
119,Heliconia,Caribaea,Barbados,Heliconia,False,4,16,8,1,,,1,,,3,4,3,2023-07-05 23:32:36.0712100,2023-07-05 23:32:36.0712102
120,Heliconia,Orthotricha,Yellow Base,Heliconia,False,4,14,6,1,,,2,3,4,3,4,3,2023-07-05 23:35:03.5337644,2023-07-05 23:35:03.5337647
121,Heliconia,Bihai,Claw I,Heliconia,False,4,16,5,2,,,1,2,4,3,4,3,2023-07-05 23:39:53.5316212,2023-07-05 23:39:53.5316213
122,Heliconia,Wagneriana,Rainbow,Heliconia,False,4,7,4,1,,,3,2,4,3,4,3,2023-07-05 23:42:51.3997888,2023-07-05 23:42:51.3997890
